index,path,name,type,unknown1,unknown2,offset,raw_key_hex,num_entries_declared,records_parsed,field_count,fields,warnings,json_file,csv_file
0,BLOB,BLOB,3,138,,0,8acbe2038acbe20403,2,2,7,"[{""name"":""BLBM"",""type"":5},{""name"":""DCHT"",""type"":4},{""name"":""OTID"",""type"":0},{""name"":""PLAY"",""type"":4},{""name"":""TCPS"",""type"":4},{""name"":""TEAM"",""type"":4},{""name"":""TREF"",""type"":0}]",[],json\000_BLOB.json,csv\000_BLOB.csv
1,BLOB.BLBM,BLBM,5,0,2,8099176,8ac8ad05,609,609,9,"[{""name"":""BCCS"",""type"":0},{""name"":""BCLS"",""type"":0},{""name"":""CBST"",""type"":0},{""name"":""HBST"",""type"":0},{""name"":""LBST"",""type"":0},{""name"":""QBCS"",""type"":0},{""name"":""QBSS"",""type"":0},{""name"":""QBTS"",""type"":0},{""name"":""WRST"",""type"":0}]",[],json\001_BLOB_BLBM.json,csv\001_BLOB_BLBM.csv
2,BLOB.DCHT,DCHT,4,3,,8127007,923a3404,8660,8660,4,"[{""name"":""DDEP"",""type"":0},{""name"":""PGID"",""type"":0},{""name"":""PPOS"",""type"":0},{""name"":""TGID"",""type"":0}]",[],json\002_BLOB_DCHT.json,csv\002_BLOB_DCHT.csv
3,BLOB.PLAY,PLAY,4,3,,8308421,c2c87904,11730,11730,98,"[{""name"":""EPAV"",""type"":0},{""name"":""ISCN"",""type"":0},{""name"":""PACC"",""type"":0},{""name"":""PAGE"",""type"":0},{""name"":""PAGI"",""type"":0},{""name"":""PAWR"",""type"":0},{""name"":""PBCV"",""type"":0},{""name"":""PBKT"",""type"":0},{""name"":""PBSG"",""type"":0},{""name"":""PBSK"",""type"":0},{""name"":""PCAR"",""type"":0},{""name"":""PCBT"",""type"":0},{""name"":""PCMT"",""type"":0},{""name"":""PCTH"",""type"":0},{""name"":""PDPI"",""type"":0},{""name"":""PDRO"",""type"":0},{""name"":""PDRR"",""type"":0},{""name"":""PELU"",""type"":0},{""name"":""PEPS"",""type"":1},{""name"":""PFMS"",""type"":0},{""name"":""PFNA"",""type"":1},{""name"":""PGID"",""type"":0},{""name"":""PHAN"",""type"":0},{""name"":""PHGT"",""type"":0},{""name"":""PHSN"",""type"":0},{""name"":""PHTN"",""type"":1},{""name"":""PICN"",""type"":0},{""name"":""PIEA"",""type"":0},{""name"":""PIIP"",""type"":0},{""name"":""PIMP"",""type"":0},{""name"":""PINJ"",""type"":0},{""name"":""PJEN"",""type"":0},{""name"":""PJMP"",""type"":0},{""name"":""PKAC"",""type"":0},{""name"":""PKPR"",""type"":0},{""name"":""PKRT"",""type"":0},{""name"":""PLBD"",""type"":0},{""name"":""PLBK"",""type"":0},{""name"":""PLCE"",""type"":0},{""name"":""PLCI"",""type"":0},{""name"":""PLCP"",""type"":0},{""name"":""PLDT"",""type"":0},{""name"":""PLHT"",""type"":0},{""name"":""PLIB"",""type"":0},{""name"":""PLJM"",""type"":0},{""name"":""PLMC"",""type"":0},{""name"":""PLMO"",""type"":0},{""name"":""PLNA"",""type"":1},{""name"":""PLPE"",""type"":0},{""name"":""PLPL"",""type"":0},{""name"":""PLPM"",""type"":0},{""name"":""PLPO"",""type"":0},{""name"":""PLPR"",""type"":0},{""name"":""PLPU"",""type"":0},{""name"":""PLRL"",""type"":0},{""name"":""PLSA"",""type"":0},{""name"":""PLSC"",""type"":0},{""name"":""PLSM"",""type"":0},{""name"":""PLTR"",""type"":0},{""name"":""PLTY"",""type"":0},{""name"":""PLZC"",""type"":0},{""name"":""PMRR"",""type"":0},{""name"":""POID"",""type"":0},{""name"":""POVR"",""type"":0},{""name"":""PPBF"",""type"":0},{""name"":""PPBK"",""type"":0},{""name"":""PPBS"",""type"":0},{""name"":""PPLA"",""type"":0},{""name"":""PPOS"",""type"":0},{""name"":""PQBS"",""type"":0},{""name"":""PRBF"",""type"":0},{""name"":""PRBK"",""type"":0},{""name"":""PRBS"",""type"":0},{""name"":""PROL"",""type"":0},{""name"":""PRSD"",""type"":0},{""name"":""PRSE"",""type"":0},{""name"":""PSPD"",""type"":0},{""name"":""PSTA"",""type"":0},{""name"":""PSTM"",""type"":0},{""name"":""PSTR"",""type"":0},{""name"":""PSXP"",""type"":0},{""name"":""PTAD"",""type"":0},{""name"":""PTAK"",""type"":0},{""name"":""PTAM"",""type"":0},{""name"":""PTAS"",""type"":0},{""name"":""PTEN"",""type"":0},{""name"":""PTGH"",""type"":0},{""name"":""PTHA"",""type"":0},{""name"":""PTHP"",""type"":0},{""name"":""PTOR"",""type"":0},{""name"":""PTUP"",""type"":0},{""name"":""PUHE"",""type"":0},{""name"":""PWGT"",""type"":0},{""name"":""PYCF"",""type"":0},{""name"":""PYEA"",""type"":0},{""name"":""PYWT"",""type"":0},{""name"":""SRRN"",""type"":0},{""name"":""TGID"",""type"":0}]",[],json\003_BLOB_PLAY.json,csv\003_BLOB_PLAY.csv
4,BLOB.TCPS,TCPS,4,3,,14179047,d23c3304,138,138,3,"[{""name"":""TCRK"",""type"":0},{""name"":""TGID"",""type"":0},{""name"":""TMRK"",""type"":0}]",[],json\004_BLOB_TCPS.json,csv\004_BLOB_TCPS.csv
5,BLOB.TEAM,TEAM,4,3,,14181550,d2586d04,138,138,67,"[{""name"":""CGID"",""type"":0},{""name"":""CYID"",""type"":0},{""name"":""DGID"",""type"":0},{""name"":""DISN"",""type"":0},{""name"":""IMIL"",""type"":0},{""name"":""SGID"",""type"":0},{""name"":""SID1"",""type"":0},{""name"":""TAFL"",""type"":0},{""name"":""TALG"",""type"":0},{""name"":""TAPP"",""type"":0},{""name"":""TASN"",""type"":1},{""name"":""TB2B"",""type"":0},{""name"":""TB2G"",""type"":0},{""name"":""TB2R"",""type"":0},{""name"":""TBCB"",""type"":0},{""name"":""TBCG"",""type"":0},{""name"":""TBCR"",""type"":0},{""name"":""TCRP"",""type"":0},{""name"":""TDAN"",""type"":1},{""name"":""TDNA"",""type"":1},{""name"":""TDPB"",""type"":0},{""name"":""TFLO"",""type"":0},{""name"":""TGID"",""type"":0},{""name"":""THAR"",""type"":0},{""name"":""THPS"",""type"":0},{""name"":""THSC"",""type"":0},{""name"":""TLGO"",""type"":0},{""name"":""TLNA"",""type"":1},{""name"":""TLRR"",""type"":0},{""name"":""TLSA"",""type"":0},{""name"":""TMAN"",""type"":1},{""name"":""TMHO"",""type"":1},{""name"":""TMHT"",""type"":1},{""name"":""TMID"",""type"":0},{""name"":""TMNC"",""type"":1},{""name"":""TMOT"",""type"":1},{""name"":""TMSO"",""type"":1},{""name"":""TMST"",""type"":1},{""name"":""TNCI"",""type"":0},{""name"":""TOID"",""type"":0},{""name"":""TOPB"",""type"":0},{""name"":""TORD"",""type"":0},{""name"":""TPFN"",""type"":1},{""name"":""TPLE"",""type"":0},{""name"":""TRDB"",""type"":0},{""name"":""TRDE"",""type"":0},{""name"":""TRDL"",""type"":0},{""name"":""TRLB"",""type"":0},{""name"":""TROF"",""type"":0},{""name"":""TROL"",""type"":0},{""name"":""TROV"",""type"":0},{""name"":""TRQB"",""type"":0},{""name"":""TRRB"",""type"":0},{""name"":""TRST"",""type"":0},{""name"":""TRV1"",""type"":0},{""name"":""TRV2"",""type"":0},{""name"":""TRV3"",""type"":0},{""name"":""TSNA"",""type"":1},{""name"":""TSNS"",""type"":0},{""name"":""TTPC"",""type"":0},{""name"":""TUAN"",""type"":1},{""name"":""TUFP"",""type"":1},{""name"":""TUHO"",""type"":0},{""name"":""TVIS"",""type"":0},{""name"":""TWRR"",""type"":0},{""name"":""TYSE"",""type"":0},{""name"":""TYSF"",""type"":0}]",[],json\005_BLOB_TEAM.json,csv\005_BLOB_TEAM.csv
